sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 05, 2025 23:11:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
    +flowCCByToggle_1:FlowCCByToggle_c738d0e3dbf04358be6fed819c809706	       9(7)	       0(0)	       2(2)	     0(0)	     0(0)	
     +inputArea_target_buffercc:BufferCC_4_c738d0e3dbf04358be6fed819c809706	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_debugger:SystemDebugger_c738d0e3dbf04358be6fed819c809706	     78(78)	       0(0)	     23(23)	     0(0)	     0(0)	
   +bufferCC_8:BufferCC_3_c738d0e3dbf04358be6fed819c809706  	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_c738d0e3dbf04358be6fed819c809706	       3(0)	       0(0)	      75(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_c738d0e3dbf04358be6fed819c809706	       3(3)	       0(0)	     75(75)	     0(0)	     0(0)	
   +system_axiA_logic_bmbToAxiBridge:BmbToAxi4SharedBridge_c738d0e3dbf04358be6fed819c809706	     61(18)	       0(0)	    108(55)	     0(0)	     0(0)	
    +writeCmdInfo_fifo:StreamFifo_4_c738d0e3dbf04358be6fed819c809706	     26(26)	       0(0)	     29(29)	     0(0)	     0(0)	
    +readCmdInfo_fifo:StreamFifo_4_c738d0e3dbf04358be6fed819c809706	     17(17)	       0(0)	     24(24)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoder_1_c738d0e3dbf04358be6fed819c809706	     13(13)	     15(15)	     65(65)	     0(0)	     0(0)	
   +bmbDecoder_4:BmbDecoder_2_c738d0e3dbf04358be6fed819c809706	       9(9)	     15(15)	     14(14)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_c738d0e3dbf04358be6fed819c809706	       3(3)	       0(0)	       2(2)	     8(8)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_3_c738d0e3dbf04358be6fed819c809706	     76(76)	       0(0)	   104(104)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_c738d0e3dbf04358be6fed819c809706	   165(165)	     63(63)	   141(141)	     0(0)	     0(0)	
   +system_uart_0_io_logic:BmbUartCtrl_c738d0e3dbf04358be6fed819c809706	    162(64)	      79(8)	    182(44)	     2(0)	     0(0)	
    +uartCtrl_1:UartCtrl_c738d0e3dbf04358be6fed819c809706   	     66(21)	     27(21)	    111(31)	     0(0)	     0(0)	
     +tx:UartCtrlTx_c738d0e3dbf04358be6fed819c809706        	     11(11)	       0(0)	     30(30)	     0(0)	     0(0)	
     +rx:UartCtrlRx_c738d0e3dbf04358be6fed819c809706        	     34(32)	       6(6)	     50(50)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_5_c738d0e3dbf04358be6fed819c809706	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_2_c738d0e3dbf04358be6fed819c809706	     16(16)	     22(22)	     12(12)	     1(1)	     0(0)	
    +system_uart_0_io_logic_uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_2_c738d0e3dbf04358be6fed819c809706	     16(16)	     22(22)	     15(15)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_c738d0e3dbf04358be6fed819c809706	   171(103)	      61(0)	    183(75)	     2(0)	     0(0)	
    +ctrl:TopLevel_c738d0e3dbf04358be6fed819c809706         	     32(32)	     11(11)	     77(77)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_c738d0e3dbf04358be6fed819c809706	     18(18)	     25(25)	     15(15)	     1(1)	     0(0)	
    +system_spi_0_io_logic_ctrl_io_rsp_queueWithOccupancy:StreamFifo_1_c738d0e3dbf04358be6fed819c809706	     18(18)	     25(25)	     16(16)	     1(1)	     0(0)	
   +io_apbSlave_0_logic:BmbToApb3Bridge_c738d0e3dbf04358be6fed819c809706	       2(2)	       0(0)	       1(1)	     0(0)	     0(0)	
