
# Efinity Pinout Report
# Version: 2024.1.163
# Date: 2025-04-04 19:04

# Copyright (C) 2013 - 2024 Efinix Inc. All rights reserved.

# Device: T20Q144
# Package status: final
# Project: Lab2
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
133,GND,,Power,,,,,Ground
134,GPIOL_73_EXTFB1_CDI15,,Input,1E,3.3 V,,weak pullup,User IO
135,GPIOL_72_EXTFB0_CDI14,,Input,1E,3.3 V,,weak pullup,User IO
136,GPIOL_71_NSTATUS,leds[0],Output,1E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/Configuration
137,GPIOL_70_CBSEL0,,Input,1E,3.3 V,,weak pullup,User IO
138,GPIOL_69_CBSEL1,,Input,1E,3.3 V,,weak pullup,User IO
139,GPIOL_68,,Input,1E,3.3 V,,weak pullup,User IO
140,GPIOL_67_CDI13,system_uart_0_io_txd,Output,1E,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
141,GPIOL_65,butons[1],Input,1E,3.3 V,3.3 V LVTTL / LVCMOS,weak pullup,User IO
142,GPIOL_66_CDI12,system_uart_0_io_rxd,Input,1E,3.3 V,3.3 V LVTTL / LVCMOS,weak pullup,User IO
143,VCCIO1E,,Power,1E,3.3 V,,,VCCIO Power
144,GPIOL_64,,Input,1E,3.3 V,,weak pullup,User IO
